Year;Date;Time;Round;Stadium;City;Country;Team;Team G;Opponent;Opponent G;Observation
1934;1934-06-03 00:00:00.000;" 16:30 ";Semi-finals;Nazionale PNF;"Rome ";Italy;Czechoslovakia;3;Germany;1;" "
1934;1934-06-03 00:00:00.000;" 16:30 ";Semi-finals;Nazionale PNF;"Rome ";Italy;Germany;1;Czechoslovakia;3;" "
1934;1934-06-03 00:00:00.000;" 16:30 ";Semi-finals;San Siro;"Milan ";Italy;Austria;0;Italy;1;" "
1934;1934-06-03 00:00:00.000;" 16:30 ";Semi-finals;San Siro;"Milan ";Italy;Italy;1;Austria;0;" "
1934;1934-06-07 00:00:00.000;" 18:00 ";Match for third place;Giorgio Ascarelli;"Naples ";Italy;Austria;2;Germany;3;" "
1934;1934-06-07 00:00:00.000;" 18:00 ";Match for third place;Giorgio Ascarelli;"Naples ";Italy;Germany;3;Austria;2;" "
1934;1934-06-10 00:00:00.000;" 17:30 ";Final;Nazionale PNF;"Rome ";Italy;Czechoslovakia;1;Italy;2;"Italy win after extra time "
1934;1934-06-10 00:00:00.000;" 17:30 ";Final;Nazionale PNF;"Rome ";Italy;Italy;2;Czechoslovakia;1;"Italy win after extra time "
1938;1938-06-04 00:00:00.000;" 17:00 ";First round;Parc des Princes;"Paris ";France;Germany;1;Switzerland;1;" "
1938;1938-06-04 00:00:00.000;" 17:00 ";First round;Parc des Princes;"Paris ";France;Switzerland;1;Germany;1;" "
1938;1938-06-05 00:00:00.000;" 17:00 ";First round;Stade Municipal;"Toulouse ";France;Cuba;3;Romania;3;" "
1938;1938-06-05 00:00:00.000;" 17:00 ";First round;Stade Municipal;"Toulouse ";France;Romania;3;Cuba;3;" "
1938;1938-06-05 00:00:00.000;" 17:00 ";First round;Stade Olympique;"Colombes ";France;Belgium;1;France;3;" "
1938;1938-06-05 00:00:00.000;" 17:00 ";First round;Stade Olympique;"Colombes ";France;France;3;Belgium;1;" "
1938;1938-06-05 00:00:00.000;" 17:00 ";First round;Stade Vï¿½lodrome;"Marseilles ";France;Italy;2;Norway;1;"Italy win after extra time "
1938;1938-06-05 00:00:00.000;" 17:00 ";First round;Stade Vï¿½lodrome;"Marseilles ";France;Norway;1;Italy;2;"Italy win after extra time "
1938;1938-06-05 00:00:00.000;" 17:00 ";First round;Velodrome Municipale;"Reims ";France;Dutch East Indies;0;Hungary;6;" "
1938;1938-06-05 00:00:00.000;" 17:00 ";First round;Velodrome Municipale;"Reims ";France;Hungary;6;Dutch East Indies;0;" "
1938;1938-06-05 00:00:00.000;" 17:30 ";First round;Stade de la Meinau;"Strasbourg ";France;Brazil;6;Poland;5;"Brazil win after extra time "
1938;1938-06-05 00:00:00.000;" 17:30 ";First round;Stade de la Meinau;"Strasbourg ";France;Poland;5;Brazil;6;"Brazil win after extra time "
1938;1938-06-05 00:00:00.000;" 18:30 ";First round;Cavee Verte;"Le Havre ";France;Czechoslovakia;3;Netherlands;0;"Czechoslovakia win after extra time "
1938;1938-06-05 00:00:00.000;" 18:30 ";First round;Cavee Verte;"Le Havre ";France;Netherlands;0;Czechoslovakia;3;"Czechoslovakia win after extra time "
1938;1938-06-09 00:00:00.000;" 18:00 ";First round;Parc des Princes;"Paris ";France;Germany;2;Switzerland;4;" "
1938;1938-06-09 00:00:00.000;" 18:00 ";First round;Parc des Princes;"Paris ";France;Switzerland;4;Germany;2;" "
1938;1938-06-09 00:00:00.000;" 18:00 ";First round;Stade Municipal;"Toulouse ";France;Cuba;2;Romania;1;" "
1938;1938-06-09 00:00:00.000;" 18:00 ";First round;Stade Municipal;"Toulouse ";France;Romania;1;Cuba;2;" "
1938;1938-06-12 00:00:00.000;" 17:00 ";Quarter-finals;Fort Carree;"Antibes ";France;Cuba;0;Sweden;8;" "
1938;1938-06-12 00:00:00.000;" 17:00 ";Quarter-finals;Fort Carree;"Antibes ";France;Sweden;8;Cuba;0;" "
1938;1938-06-12 00:00:00.000;" 17:00 ";Quarter-finals;Stade du Parc Lescure;"Bordeaux ";France;Brazil;1;Czechoslovakia;1;" "
1938;1938-06-12 00:00:00.000;" 17:00 ";Quarter-finals;Stade du Parc Lescure;"Bordeaux ";France;Czechoslovakia;1;Brazil;1;" "
1938;1938-06-12 00:00:00.000;" 17:00 ";Quarter-finals;Stade Olympique;"Colombes ";France;France;1;Italy;3;" "
1938;1938-06-12 00:00:00.000;" 17:00 ";Quarter-finals;Stade Olympique;"Colombes ";France;Italy;3;France;1;" "
1938;1938-06-12 00:00:00.000;" 17:00 ";Quarter-finals;Victor Boucquey;"Lille ";France;Hungary;2;Switzerland;0;" "
1938;1938-06-12 00:00:00.000;" 17:00 ";Quarter-finals;Victor Boucquey;"Lille ";France;Switzerland;0;Hungary;2;" "
1938;1938-06-14 00:00:00.000;" 18:00 ";Quarter-finals;Stade du Parc Lescure;"Bordeaux ";France;Brazil;2;Czechoslovakia;1;" "
1938;1938-06-14 00:00:00.000;" 18:00 ";Quarter-finals;Stade du Parc Lescure;"Bordeaux ";France;Czechoslovakia;1;Brazil;2;" "
1938;1938-06-16 00:00:00.000;" 18:00 ";Semi-finals;Parc des Princes;"Paris ";France;Hungary;5;Sweden;1;" "
1938;1938-06-16 00:00:00.000;" 18:00 ";Semi-finals;Parc des Princes;"Paris ";France;Sweden;1;Hungary;5;" "
1938;1938-06-16 00:00:00.000;" 18:00 ";Semi-finals;Stade Vï¿½lodrome;"Marseilles ";France;Brazil;1;Italy;2;" "
1938;1938-06-16 00:00:00.000;" 18:00 ";Semi-finals;Stade Vï¿½lodrome;"Marseilles ";France;Italy;2;Brazil;1;" "
1938;1938-06-19 00:00:00.000;" 17:00 ";Final;Stade Olympique;"Colombes ";France;Hungary;2;Italy;4;" "
1938;1938-06-19 00:00:00.000;" 17:00 ";Final;Stade Olympique;"Colombes ";France;Italy;4;Hungary;2;" "
1938;1938-06-19 00:00:00.000;" 17:00 ";Match for third place;Stade du Parc Lescure;"Bordeaux ";France;Brazil;4;Sweden;2;" "
1938;1938-06-19 00:00:00.000;" 17:00 ";Match for third place;Stade du Parc Lescure;"Bordeaux ";France;Sweden;2;Brazil;4;" "
1950;1950-06-24 00:00:00.000;" 15:00 ";Group 1;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Brazil;4;Mexico;0;" "
1950;1950-06-24 00:00:00.000;" 15:00 ";Group 1;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Mexico;0;Brazil;4;" "
1950;1950-06-25 00:00:00.000;" 15:00 ";Group 1;Independencia;"Belo Horizonte ";Brazil;Switzerland;0;Yugoslavia;3;" "
1950;1950-06-25 00:00:00.000;" 15:00 ";Group 1;Independencia;"Belo Horizonte ";Brazil;Yugoslavia;3;Switzerland;0;" "
1950;1950-06-25 00:00:00.000;" 15:00 ";Group 2;Durival de Brito;"Curitiba ";Brazil;Spain;3;USA;1;" "
1950;1950-06-25 00:00:00.000;" 15:00 ";Group 2;Durival de Brito;"Curitiba ";Brazil;USA;1;Spain;3;" "
1950;1950-06-25 00:00:00.000;" 15:00 ";Group 2;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Chile;0;England;2;" "
1950;1950-06-25 00:00:00.000;" 15:00 ";Group 2;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;England;2;Chile;0;" "
1950;1950-06-25 00:00:00.000;" 15:00 ";Group 3;Pacaembu;"Sao Paulo ";Brazil;Italy;2;Sweden;3;" "
1950;1950-06-25 00:00:00.000;" 15:00 ";Group 3;Pacaembu;"Sao Paulo ";Brazil;Sweden;3;Italy;2;" "
1950;1950-06-28 00:00:00.000;" 15:00 ";Group 1;Eucaliptos;"Porto Alegre ";Brazil;Mexico;1;Yugoslavia;4;" "
1950;1950-06-28 00:00:00.000;" 15:00 ";Group 1;Eucaliptos;"Porto Alegre ";Brazil;Yugoslavia;4;Mexico;1;" "
1950;1950-06-28 00:00:00.000;" 15:00 ";Group 1;Pacaembu;"Sao Paulo ";Brazil;Brazil;2;Switzerland;2;" "
1950;1950-06-28 00:00:00.000;" 15:00 ";Group 1;Pacaembu;"Sao Paulo ";Brazil;Switzerland;2;Brazil;2;" "
1950;1950-06-29 00:00:00.000;" 15:00 ";Group 2;Independencia;"Belo Horizonte ";Brazil;England;0;USA;1;" "
1950;1950-06-29 00:00:00.000;" 15:00 ";Group 2;Independencia;"Belo Horizonte ";Brazil;USA;1;England;0;" "
1950;1950-06-29 00:00:00.000;" 15:00 ";Group 2;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Chile;0;Spain;2;" "
1950;1950-06-29 00:00:00.000;" 15:00 ";Group 2;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Spain;2;Chile;0;" "
1950;1950-06-29 00:00:00.000;" 15:30 ";Group 3;Durival de Brito;"Curitiba ";Brazil;Paraguay;2;Sweden;2;" "
1950;1950-06-29 00:00:00.000;" 15:30 ";Group 3;Durival de Brito;"Curitiba ";Brazil;Sweden;2;Paraguay;2;" "
1950;1950-07-01 00:00:00.000;" 15:00 ";Group 1;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Brazil;2;Yugoslavia;0;" "
1950;1950-07-01 00:00:00.000;" 15:00 ";Group 1;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Yugoslavia;0;Brazil;2;" "
1950;1950-07-02 00:00:00.000;" 15:00 ";Group 2;Ilha do Retiro;"Recife ";Brazil;Chile;5;USA;2;" "
1950;1950-07-02 00:00:00.000;" 15:00 ";Group 2;Ilha do Retiro;"Recife ";Brazil;USA;2;Chile;5;" "
1950;1950-07-02 00:00:00.000;" 15:00 ";Group 2;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;England;0;Spain;1;" "
1950;1950-07-02 00:00:00.000;" 15:00 ";Group 2;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Spain;1;England;0;" "
1950;1950-07-02 00:00:00.000;" 15:00 ";Group 3;Pacaembu;"Sao Paulo ";Brazil;Italy;2;Paraguay;0;" "
1950;1950-07-02 00:00:00.000;" 15:00 ";Group 3;Pacaembu;"Sao Paulo ";Brazil;Paraguay;0;Italy;2;" "
1950;1950-07-02 00:00:00.000;" 15:00 ";Group 4;Independencia;"Belo Horizonte ";Brazil;Bolivia;0;Uruguay;8;" "
1950;1950-07-02 00:00:00.000;" 15:00 ";Group 4;Independencia;"Belo Horizonte ";Brazil;Uruguay;8;Bolivia;0;" "
1950;1950-07-02 00:00:00.000;" 15:40 ";Group 1;Eucaliptos;"Porto Alegre ";Brazil;Mexico;1;Switzerland;2;" "
1950;1950-07-02 00:00:00.000;" 15:40 ";Group 1;Eucaliptos;"Porto Alegre ";Brazil;Switzerland;2;Mexico;1;" "
1950;1950-07-09 00:00:00.000;" 15:00 ";Group 6;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Brazil;7;Sweden;1;" "
1950;1950-07-09 00:00:00.000;" 15:00 ";Group 6;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Sweden;1;Brazil;7;" "
1950;1950-07-09 00:00:00.000;" 15:00 ";Group 6;Pacaembu;"Sao Paulo ";Brazil;Spain;2;Uruguay;2;" "
