Year;Date;Time;Round;Stadium;City;Country;HomeTeam;HomeGoals;AwayGoals;AwayTeam;Observation
1958;1958-06-15 00:00:00.000;" 19:00 ";Group 2;Eyravallen;"Orebro ";Sweden;France;2;1;Scotland;" "
1958;1958-06-15 00:00:00.000;" 19:00 ";Group 4;Ryavallen;"Boras ";Sweden;England;2;2;Austria;" "
1958;1958-06-15 00:00:00.000;" 19:00 ";Group 1;Olympia Stadium;"Helsingborg ";Sweden;Czechoslovakia;6;1;Argentina;" "
1958;1958-06-17 00:00:00.000;" 19:00 ";Group 4;Nya Ullevi;"Gothenburg ";Sweden;Soviet Union;1;0;England;" "
1958;1958-06-17 00:00:00.000;" 19:00 ";Group 1;Malmo Stadion;"Malmï¿½ ";Sweden;Northern Ireland;2;1;Czechoslovakia;"Northern Ireland win after extra time "
1958;1958-06-17 00:00:00.000;" 19:00 ";Group 3;Rasunda Stadium;"Solna ";Sweden;Wales;2;1;Hungary;" "
1958;1958-06-19 00:00:00.000;" 19:00 ";Quarter-finals;Nya Ullevi;"Gothenburg ";Sweden;Brazil;1;0;Wales;" "
1958;1958-06-19 00:00:00.000;" 19:00 ";Quarter-finals;Malmo Stadion;"Malmï¿½ ";Sweden;Germany FR;1;0;Yugoslavia;" "
1958;1958-06-19 00:00:00.000;" 19:00 ";Quarter-finals;Rasunda Stadium;"Solna ";Sweden;Sweden;2;0;Soviet Union;" "
1958;1958-06-19 00:00:00.000;" 19:00 ";Quarter-finals;Idrottsparken;"Norrkï¿½Ping ";Sweden;France;4;0;Northern Ireland;" "
1958;1958-06-24 00:00:00.000;" 19:00 ";Semi-finals;Nya Ullevi;"Gothenburg ";Sweden;Sweden;3;1;Germany FR;" "
1958;1958-06-24 00:00:00.000;" 19:00 ";Semi-finals;Rasunda Stadium;"Solna ";Sweden;Brazil;5;2;France;" "
1958;1958-06-28 00:00:00.000;" 17:00 ";Match for third place;Nya Ullevi;"Gothenburg ";Sweden;France;6;3;Germany FR;" "
